"_c0","text"
"电子助力制动算法设计工程师（2023届校招） (职位编号：67259535)","	        1、 负责电子助力制动产品的项目验证试验的制定与执行；2、 负责制动系统应用层算法软件模型搭建，自动代码生成；3、 负责制动系统应用层算法软件模型MIL，SIL，HIL仿真和测试；4、 负责制动系统应用层算法软件实车测试，调试，匹配和标定，故障诊断；5、 负责制动系统电机控制算法软件能量回收模型搭建；6、 协助主管工程师进行试验室设备的开发与维护；7、 协助主管工程师进行试验室管理岗位需求:1、 硕士及以上学历，车辆工程、自动化、软件等相关专业；2、 熟悉车辆结构，底盘系统、制动系统知识；3、 熟悉NI/Vector等工具的使用，具有HIL测试相关经验；4、 能够英语读写，沟通能力强，逻辑思维好                "
"图像算法工程师","图像识别,识别算法,图像增强,图像算法,深度学习,图像处理,目标跟踪	<p>职责：<br></p><p>1.负责公司图像识别算法的优化；</p><p>2.负责图像优化和图像增强算法的改进；</p><p>3.参与产品的需求分析、系统设计评审；</p><p>4.参与图像算法的C语言移植和优化；</p><p>5.参与系统集成和验证，确保设计输出满足要求。</p><p>要求：</p><p>1.数字与信号处理或相关专业，有深度学习经验者优先。</p><p>2.熟悉数字图像处理过程。</p><p>3.熟练使用Matlab，可快速实现算法验证。</p><p>4.英语6级以上，能熟练阅读英文资料。</p><p>5.熟悉C语言，能编写算法验证程序程序。</p><p>5.具有较强的逻辑思维能力；</p><p>6.良好的责任心和主动性；</p><p>7.良好的发现问题和解决问题能力。</p><p><br></p><div><br>职位福利：创业公司、五险一金、年终分红、交通补助、带薪年假<br></div>"
"电机控制算法工程师","伺服电机,电机算法,foc算法,C/C++,嵌入式软件开发,机器人算法,无刷直流电机,算法开发	工作职责：
1.无刷电机的驱动算法编写，调试；
2.电机控制算法的研究、设计、实现；
3.现有算法的调参、优化；
4.电机所需传感器的校准；
5.其他使用电机过程中的问题的解决。
任职资格：
1.本科或以上学历，3年以上电机控制、电机驱动器开发等相关经验；
2.电气工程、电力电子、控制相关专业背景，熟悉电机结构、原理、数学模型，掌握电机控制特性；
3.熟悉伺服电机控制算法，熟悉矢量控制原理，熟悉电机控制特性，功率特性，负载特性；
4.熟悉TI或其他MCU的软件开发。"
"履约技术—智能定价算法工程师","机器学习算法/工程化经验,深度学习经验,有国际期刊/会议论文发表	岗位职责：
1.负责骑手智能定价算法的设计和实现，综合使用运筹优化、因果建模和收益管理方法，在不同供需场景，对邮资合理定价，提升履约体验；
2.负责骑手智能活动策略，包括供需诊断、骑手出勤和冲单等激励策略，持续优化补贴效率；
3.负责用户端配送费智能定价算法的迭代，通过对大规模组合优化、因果建模和经济学的研究和实验，优化收入和规模，并在供需失衡场景通过动态溢价的实时决策保障履约体验；
4.负责大模型在运营场景的应用，提高运营效率；

岗位要求：
1.1年以上工作经验，计算机、数学等相关专业，有扎实的算法基础和代码能力；
2.在机器学习或数据挖掘方向有深入理解，在广告推荐、营销补贴、Uplift和收益管理、预估和归因、强化学习等方面有实践经验者优先；
3.有大模型应用实践经验者优先；
4.优秀的业务理解、目标制定能力，较强的跨团队沟通和协调能力；

部门介绍：
到家研发平台秉承“零售+科技”战略，致力于推动餐饮、零售需求侧和供给侧数字化升级，构建了超大规模的在线交易平台和实时调度系统，保障了百万商家和亿级用户的高效安全交易，实现了对百万骑手所在物理世界全链路的数字化。随着万物到家业务战略推进，我们在需求侧致力于通过大数据与大算力深度融合，建设强大的LBS零售电商系统和平台；同时，在供给侧紧密关注决策智能、因果推断和机器人等诸多新技术的发展和应用，建设行业领先的智能决策平台。
到家研发平台，一方面通过系统和技术体系的迭代升级，帮助业务高质量增长，另一方面，密切关注技术趋势变化，提前进行核心方向布局，积极探索前沿技术领域，为业务未来发展创造新的可能性。加入我们，一起用技术让人们的生活更加简单，更加美好。"
"算法工程师(北京）","Python	<p>岗位职责：</p><p>1. 跟进大模型技术前沿发展动态，依据使用需求验证开源大模型实验效果。</p><p>2. 根据产品开发需求进行大模型算法选择及设计，并对算法进行快速验证和实现，解决实际业务问题。</p><p>3. 实现从业务需求理解，数据标注，模型微调训练，AI能力构建，AI能力推理测试全流程。</p><p>4. 推进大模型等人工智能技术的在前瞻性项目和实际现网项目上的应用。</p><p>基本条件：</p><p>1.对工作充满热情，积极向上。</p><p>2.对人工智能、大模型领域有浓厚兴趣，愿意主动跟踪最新的大模型等人工智能技术。</p><p>3. 良好的学习和研究能力，能够独立阅读英文文献。</p><p>4.沟通交流能力较好。</p><p>5.能够接受短期出差。</p><p>岗位技能：</p><p>1. 计算机相关专业。</p><p>2. 掌握人工智能、机器学习、神经网络等方向基础知识。</p><p>3. 熟练掌握python开发语言。</p><p>4. 熟练掌握Pytorch、Tensorflow、Transformer等神经网络计算框架的使用和开发。</p><p>5. 熟悉Linux操作系统、熟练掌握Shell、docker的使用。</p><p>6. 在以下领域发表论文或者有实际开发经验为佳：计算机视觉、图像处理、自然语言处理等。</p><p>7.了解生成式大模型，对主流开源生成式大模型有开发经验者优先考虑。</p>"
"激光slam算法工程师","SLAM算法,SA算法,传感器算法,激光雷达,粒子滤波,算法优化,优化算法,机器视觉	职责：
1、负责参与激光SLAM算法的设计和优化 ；
2、融合IMU、GNSS、激光雷达等传感器数据；
3、配合后端优化算法实现机器人定位和建图工作；
4、算法移植及产品化；

任职要求：
1、本科及以上学历，计算机、自动化、应用数学、电子通信类相关专业；
2、具有2年以上SLAM或导航定位相关工作经验；
3、熟悉移动机器人或无人机视觉导航技术，掌握SLAM、传感器融合等算法相关技术，了解卡尔曼滤波、非线性优化、粒子滤波、图优化、激光匹配、回环检测等SLAM中常用的理论和方法；
4、熟悉常用的室内/室外定位、路径规划、运动控制以及绕障算法；
5、有机器人或自动驾驶相关经验者优先；"
"AI算法实习生","	        工业软件数据类型研究实习生岗位职责： 1、工业软件数据类型研究，2、具有良好的沟通能力，对科学问题有激情，喜欢钻研，能快速掌握和接受新技术，有独立自主的学习能力。 任职要求： 1、学历985本科及以上，熟悉Python/c/c++等编程语言； 2、有工业设计、3D图形设计、CAD使用经验（2年优先）； 3、熟悉几何、图等数据结构； 4、熟悉PointCloud、Mesh、PLY、STP等常见3D文件；5、算法能力优秀； 6、机械工程、设计等相关专业优先。                "
"BMS算法工程师","卡尔曼滤波,最小二乘,模糊逻辑推理算法,MATLAB,SIMULIK,电池管理系统	<p>岗位职责：</p> <p>1、负责电池管理系统SOC/SOH算法开发、模型构建及仿真分析；</p> <p>2、负责可靠性、稳定性进行评估，并通过测试或数据验证不断优化；</p> <p>3、负责SOX相关的论文或专利的研究。</p> <p>岗位要求：</p> <p>1、电化学、车辆工程、计算机电子、自动化、数学等相关专业，3年以上同岗位经验；</p> <p>2、熟练应用估计算法，如卡尔曼滤波，最小二乘，模糊逻辑推理算法等；</p> <p>3、熟悉动力电池电化学特性以及在电动汽车上的应用要求；</p> <p>4、精通Matlab/Simulik；</p> <p>5、熟悉电池的测试规范，各个指标的测试验证方法；</p> <p></p>"
"NLP算法工程师","休闲｜娱乐	工作职责:负责在海量小说文本场景下，包括不限于内容标签、内容风控、内容理解、内容解构等任务下的算法设计、实验、调优和落地等研发工作负责为特定业务设计和实现高质量的特征并应用于模型负责基础NLP能力提升和业务模型构建，包括但不限于文本多标签、多分类、seq2seq、NER、知识图谱、文本生成、关键词抽取等；跟踪业界领域前沿技术发展，探索深度学习技术在内容场景下的应用任职资格:出色的编程能力，优秀的python编程能力，熟练使用tensorflow/pytorch/TFserving等开源深度框架，工作经验一年以上扎实的机器学习理论，熟悉常用机器学习算法（LR/GBDT/Xgboost），掌握各种特征工程经典方法扎实的深度学习理论，熟悉深度学习原理和实现，掌握CNN/LSTM/Transformer等基本网络模型，熟悉BERT及预训练技术的应用和发展责任心强，出色的分析问题、解决问题能力，积极主动，有良好的沟通能力和团队合作能力，热爱网文者优先"
"云台算法工程师-2023校招(J10719)","本科,Matlab,C++	职责描述：
1.云台功能算法的设计与实现，开发业务功能
2.IMU、霍尔等传感器数据的标定与处理
3.云台控制精度、融合准确性等相关指标的评估与优化
任职要求：
1.硕士及以上学历，自动化相关专业，大学英语4及或以上；
2.熟悉四元数、欧拉角和旋转矩阵相关知识；
3.熟悉经典控制理论、频域分析、环路校正和滤波器设计等方法；
4.熟悉c/c++、matlab等开发语言，熟悉simulink仿真系统。

截止日期：2023年07月18日
招聘人数：1人"
